"uploadID","uploadRA","uploadDEC","uploadSearchID","objID","survey","specObjID","distance_arcmin","fov_radius","IAUName","ra","dec","band","nuv_exptime","fuv_exptime","fuv_mag","fuv_magerr","nuv_mag","nuv_magerr","fuv_flux","fuv_fluxerr","nuv_flux","nuv_fluxerr","e_bv","spectra","fuv_fwhm_world","nuv_fwhm_world","ra_cent","dec_cent","minObsDate","meanObsDate","maxObsDate","minObsMJD","meanObsMJD","maxObsMJD","tilename","tilenum","img","subvis","photoextractid","nuv_flux_auto","nuv_flux_aper_7","nuv_artifact","fuv_flux_auto","fuv_flux_aper_7","fuv_artifact"
"2MASXJ14530794+2554327","223.2829167","25.90916667","40","6379254519321071471","AIS","0","0.0082223375255368984","0.52230352163314819","GALEX J145307.9+255433","223.2830256910247","25.909262422837539","3","231","95","17.59399","0.062394686","17.90771","0.0288398918","332.9708","19.130394","249.411224","6.623382","0.0354044624","false","0.00131330534","0.001687117","222.79191","25.63141","2005-04-29","2006-04-20","2007-04-11","53489.112858796288","53845.487858796296","54201.914212962962","AIS_237","50237","1","63","6379254519317921792","7.39462947845459","7.5237116813659668","1","3.0931730270385742","3.1283342838287354","0"
"2MASXJ14530794+2554327","223.2829167","25.90916667","40","6379254523616037972","AIS","0","0.010298003240931551","0.53892415761947632","GALEX J145307.9+255432","223.2830880130854","25.90909108541285","3","307","92","17.483408","0.07624803","18.0155563","0.0274026636","368.6709","25.8843727","225.827744","5.6982336","0.0354044624","false","0.00128987583","0.0016537","223.87924","25.85651","2005-04-29","2006-04-20","2007-04-11","53489.111134259256","53845.52780092592","54201.92637731482","AIS_237","50237","1","67","6379254523612889088","6.6954183578491211","6.8224949836730957","0","3.4248135089874268","3.5214238166809082","0"
"2MASXJ15064412+0351444","226.68375","3.862222222","41","2938530724642303019","MIS","0","0.034807447971314076","0.47656562924385071","GALEX J150644.2+035144","226.68431713550331","3.8623501308745158","2","1683.25","1683.25","20.38117","0.07717637","-999","-999","25.5583916","1.81630182","-999","-999","0.047764048","false","0.00535601564","-99","227.16049","3.89998","2009-05-26","2009-05-26","2009-05-26","54977.567696759259","54977.567696759259","54977.587175925924","MISWZN15_33701_0338o","17982","1","-999","2938530724640194560","-99","-99","128","0.23742780089378357","0.21246254444122315","0"
"2MASXJ15115979-2119015","227.9991667","-21.31722222","42","6383124770186068368","AIS","0","0.0074742201968187819","0.57065141201019287","GALEX J151159.8-211902","227.999296658537","-21.317251555048621","3","201","91","20.0816879","0.31765613","18.6968651","0.05912823","33.67647","9.850403","120.573959","6.56475544","0.117792293","false","0.003658221","0.00327093736","228.41046","-20.89475","2005-05-28","2006-06-03","2007-06-08","53518.344004629631","53889.1356712963","54259.920150462967","AIS_347","50347","1","35","6383124770182922240","3.5748178958892822","3.679091215133667","1","0.31284171342849731","0.34840935468673706","0"
"2MASXJ15115979-2119015","227.9991667","-21.31722222","42","6383124780921393078","AIS","0","0.018196686543878578","0.50861448049545288","GALEX J151159.8-211901","227.99938633982941","-21.31699836453792","1","144","0","-999","-999","18.8679562","0.0775505155","-999","-999","102.995163","7.35481358","0.117792293","false","-99","0.002515428","227.92555","-21.82096","2011-05-31","2011-05-31","2011-05-31","55712.270370370374","55712.270370370374","55712.27203703703","AIS_347","50347","1","45","6383124780920340480","3.053635835647583","3.2243783473968506","1","-99","-99","-999"
"2MASXJ15462424+6929102","236.60125","69.48611111","43","6371689886838163089","AIS","0","0.035958229227719962","0.52280783653259277","GALEX J154624.5+692911","236.60237875627189","69.486561337222668","3","104","103","20.8291359","0.328101516","19.5584831","0.131189436","16.91794","5.111235","54.5263519","6.586815","0.0425985232","false","0.00351504236","0.006518226","235.12376","69.56286","2007-02-20","2007-02-20","2007-02-20","54151.442881944444","54151.442881944444","54151.444085648152","AIS_22","50022","1","70","6371689886835015680","1.616615891456604","1.6731029748916626","17","0.15716126561164856","0.1630769819021225","0"
"2MASXJ15462424+6929102","236.60125","69.48611111","43","6371689895428099703","AIS","0","0.04362679338418779","0.5896872878074646","GALEX J154624.6+692912","236.60257147854469","69.486671685988526","3","111","111","20.9119244","0.442566842","19.7939358","0.137592345","15.6758823","6.38823748","43.8960724","5.561476","0.0425985232","false","0.00337208551","0.004938292","237.19573","68.93584","2007-02-20","2007-02-20","2007-02-20","54151.451041666667","54151.451041666667","54151.452326388891","AIS_22","50022","1","78","6371689895424950272","1.3014457225799561","1.3587846755981445","1","0.14562302827835083","0.19335903227329254","0"
"2MASXJ16481523-3035037","252.06375","-30.58444444","44","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"2MASXJ18570768-7828212","284.2825","-78.4725","45","6387593186512996844","AIS","0","0.0053719418095364213","0.30694520473480225","GALEX J185707.8-782820","284.282489069248","-78.472410494287615","1","205","0","-999","-999","19.13187","0.06633458","-999","-999","80.77029","4.933576","0.158802152","false","-99","0.00191496848","285.78950","-78.53577","2011-05-22","2011-07-06","2011-08-21","55703.375717592593","55748.959050925929","55794.563784722224","AIS_474","50474","1","36","6387593186511945728","2.394705057144165","2.4165723323822021","0","-99","-99","-999"
"2MASXJ19373299-0613046","294.3875","-6.218055556","46","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"2MASXJ19380437-5109497","294.5183333","-51.16388889","47","6383828450109554945","AIS","0","0.0066340638761618531","0.47626200318336487","GALEX J193804.4-510949","294.51845516700172","-51.16380898465129","1","191","0","-999","-999","16.2579365","0.0159360655","-999","-999","1139.78967","16.72538","0.0617725179","false","-99","0.00170088257","294.32675","-50.70312","2011-07-14","2011-08-01","2011-08-18","55756.429189814815","55774.095856481486","55791.824259259258","AIS_367","50367","1","28","6383828450108506112","33.792873382568359","33.4370231628418","1","-99","-99","-999"
"2MASXJ19380437-5109497","294.5183333","-51.16388889","47","6383828461922817184","AIS","0","0.030637274105172033","0.5640295147895813","GALEX J193804.2-510949","294.51756685803667","-51.163716477030192","3","222","222","16.42701","0.0290944036","16.3221245","0.0156889223","975.43396","26.1322918","1074.36","15.5207634","0.0617725179","false","0.001304121","0.00248614047","295.25112","-51.49240","2006-08-21","2007-02-09","2007-07-31","53968.486307870371","54140.611307870364","54312.790810185179","AIS_367","50367","1","39","6383828461919666176","31.852991104125977","30.299205780029297","1","9.0614128112792969","9.4099760055542","256"
